RSSI;ID;COUNT;TIMER;Vbat;Text;Tint;Ax;Ay;Az;Atot;Atot_mps;Gx;Gy;Gz;Mx;My;Mz;Mtot;Roll;Pitch;Heading;Pressure;Height;Vertical_velocity;Vertical_accelration;Vertical_acc_g;Non_grav_force
-74;TRIDENT;1097;503.83;4.06;33.08;38.16;-0.04;1.35;0.5;1.44;14.1264;-135.69;184.93;97.27;-111.25;89.66;-299.88;332.18;111.98;53.73;87.43;93.47;691.3130606;-8.70291569;18.86446863;1.92298355;5.471172216
-68;TRIDENT;1098;504.28;4.06;32.98;38.17;0;1.2;0.48;1.29;12.6549;8.89;97.59;234.11;-128.65;88.16;-304.08;341.74;111.79;48.08;94.43;93.51;688.3242768;-6.641741792;4.58038644;0.466909933;8.756511119
-68;TRIDENT;1099;504.74;4.06;32.91;38.17;0.03;1.33;0.48;1.41;13.8321;125.42;168.5;250.13;-124;45.13;-305.43;332.71;112.89;37.62;94.8;93.54;683.3847068;-10.73819559;-8.90533434;-0.907781278;11.8582269
-68;TRIDENT;1100;505.2;4.06;32.81;38.17;-0.01;1.23;0.42;1.3;12.753;-21.05;221.74;232.49;-113.2;90.11;-297.63;330.94;118.51;25.7;96;93.59;679.4589503;-8.534253278;4.791178935;0.488397445;8.708028845
-70;TRIDENT;1101;505.66;4.06;32.74;38.17;0;1.2;0.41;1.27;12.4587;-56.81;196.89;250.13;-134.05;67.47;-301.08;336.41;118.51;12.95;99.45;93.63;676.4557902;-6.528608807;4.360096676;0.444454299;8.807177765
-72;TRIDENT;1102;506.12;4.06;32.66;38.16;-0.05;1.38;0.46;1.46;14.3226;-129.51;176.23;250.13;-108.56;92.66;-299.58;331.84;116.31;-0.05;102.55;93.66;672.5356714;-8.521997482;-4.33345364;-0.441738393;10.80669434
-81;TRIDENT;1103;506.58;4.06;32.59;38.16;-0.07;1.35;0.47;1.43;14.0283;-114.63;173.82;250.13;-140.19;80.22;-313.22;352.42;110.29;-12.24;105.61;93.7;668.6185778;-8.515420815;0.014297101;0.001457401;9.806711667
-75;TRIDENT;1104;507.03;4.06;32.52;38.16;0.01;1.22;0.47;1.31;12.8511;-74.56;102.99;250.13;-106.31;69.42;-292.53;318.9;104.34;-23.23;107.95;93.74;664.6392552;-8.842939139;-0.727818497;-0.074191488;9.977398254
-69;TRIDENT;1105;507.49;4.06;32.42;38.17;-0.01;1.37;0.48;1.45;14.2245;-50.37;167.62;250.13;-133;88.61;-310.52;349.24;100.56;-33.58;110.2;93.78;660.7718311;-8.407443707;0.9467292;0.096506544;9.592252284
-69;TRIDENT;1106;507.95;4.06;32.37;38.17;-0.09;;0.46;1.42;13.9302;-146.9;159.4;205.59;-128.95;69.87;-299.28;333.28;92.61;-44.02;118.55;93.82;656.7994106;-8.635696858;-0.496202502;-0.050581295;9.924126576
-82;TRIDENT;1107;508.41;4.06;32.27;38.17;-0.05;1.46;0.57;1.56;15.3036;-147.97;55.68;200.15;-108.71;88.01;-299.73;330.76;79.79;-51.55;127.8;93.86;652.9376546;-8.395121743;0.52298938;0.053311863;9.689712443
-74;TRIDENT;1108;508.87;4.06;32.22;38.17;0.01;1.33;0.53;1.43;14.0283;-22.58;56.81;250.13;-139.14;77.07;-308.57;347.16;67.69;-58.25;135.28;93.9;649.0359047;-8.482064952;-0.189006975;-0.019266766;9.853471604
-74;TRIDENT;1109;509.33;4.06;32.15;38.17;0;1.42;0.51;1.51;14.8131;57.11;157.95;250.13;-111.1;48.73;-297.93;321.68;55.16;-65.82;148.56;93.94;645.1794408;-8.383617076;0.214017122;0.02181622;9.760776062
-77;TRIDENT;1110;509.78;4.06;32.1;38.17;0.03;1.44;0.48;1.52;14.9112;37.85;156.44;250.13;-128.95;84.87;-304.38;341.28;30.5;-67.81;177.45;93.98;642.2624422;-6.482219077;4.225328887;0.430716502;8.838174356
-74;TRIDENT;1111;510.24;4.06;32.05;38.15;-0.02;1.5;0.47;1.57;15.4017;-131.48;250.13;250.13;-113.2;67.92;-291.63;320.12;6.53;-65.07;205.25;94.01;638.3686996;-8.464657949;-4.309649723;-0.439311898;10.80121944
-69;TRIDENT;1112;510.7;4.06;31.98;38.16;-0.07;1.32;0.41;1.38;13.5378;-178.72;206.76;223.71;-133.45;98.06;-325.97;365.62;-14.18;-54.72;223.09;94.05;634.5195626;-8.367689105;0.210801835;0.021488464;9.761515578
-67;TRIDENT;1113;511.16;4.06;31.93;38.16;-0.11;1.36;0.47;1.44;14.1264;-232.05;91.31;194.05;-126.25;73.17;-296.58;330.53;-26.63;-42.43;230.4;94.09;630.6729417;-8.362219386;0.011890693;0.001212099;9.807265141
-67;TRIDENT;1114;511.62;4.06;31.88;38.16;0.01;1.29;0.49;1.37;13.4397;20.72;116.72;250.13;-113.95;86.96;-298.68;331.3;-40.01;-36.18;237.25;94.13;626.8288352;-8.356753199;0.011883016;0.001211317;9.807266906
-67;TRIDENT;1115;512.08;4.06;31.83;38.16;0.01;1.37;0.47;1.45;14.2245;0.02;165.31;250.13;-136.59;56.23;-307.52;341.16;-42.44;-27.66;243.79;94.17;623.921828;-6.319580785;4.428635682;0.451440946;8.791413793
-67;TRIDENT;1116;512.53;4.06;31.78;38.15;0.03;1.55;0.48;1.63;15.9903;18.84;209.27;250.13;-112.9;83.52;-296.43;328.01;-43.26;-16.14;246.72;94.2;620.041594;-8.622742231;-5.118136547;-0.521726457;10.98717141
-69;TRIDENT;1117;512.99;4.06;31.71;38.15;0.01;1.39;0.38;1.44;14.1264;-173.07;250.13;250.13;-124.15;67.17;-295.98;327.92;-42.87;-3.56;248.53;94.24;616.2047922;-8.340873595;0.612757905;0.062462579;9.669065682
-65;TRIDENT;1118;513.45;4.06;31.66;38.14;-0.1;1.36;0.38;1.41;13.8321;-250.14;206.08;139.02;-126.1;103.01;-336.31;373.65;-49.43;10.52;248.23;94.28;612.3704986;-8.335420912;0.011853658;0.001208324;9.807273659
-71;TRIDENT;1119;513.91;4.06;31.61;38.15;-0.11;1.33;0.5;1.43;14.0283;-176.21;18.55;188.72;-139.44;73.47;-310.07;347.83;-59.98;19.86;245.31;94.32;608.5387116;-8.329971742;0.011846022;0.001207546;9.807275415
-85;TRIDENT;1120;514.37;4.06;31.56;38.14;0.03;1.26;0.51;1.36;13.3416;53.34;53.05;250.13;-104.81;61.62;-293.43;317.62;-65.69;27.11;248.69;94.36;604.7094296;-8.32452608;0.011838396;0.001206768;9.807277169
-77;TRIDENT;1121;514.83;4.06;31.51;38.13;0;1.34;0.45;1.41;13.8321;87.86;170.92;250.13;-137.34;73.17;-307.07;344.26;-62.12;37.38;251.17;94.4;600.9418298;-8.190434177;0.291504137;0.029714999;9.742954048
-75;TRIDENT;1122;515.28;4.06;31.49;38.13;0.03;1.44;0.47;1.52;14.9112;11.66;152.96;250.13;-110.06;54.58;-295.38;319.91;-59.66;49.48;250.07;94.44;598.0485693;-6.429467782;3.913258655;0.398905062;8.909950509
-78;TRIDENT;1123;515.74;4.06;31.44;38.13;-0.04;1.54;0.5;1.62;15.8922;-151.11;217.57;250.13;-135.09;95.81;-321.02;361.23;-59.85;61.67;249.05;94.47;594.2844905;-8.182780048;-3.811548404;-0.388537044;10.68665613
-68;TRIDENT;1124;516.2;4.06;31.42;38.13;-0.08;1.34;0.44;1.41;13.8321;-179.53;167.25;231.15;-119.05;81.27;-297.78;330.83;-74.37;74.24;240.16;94.51;590.4640072;-8.305398447;-0.266561737;-0.02717245;9.8713092
-67;TRIDENT;1125;516.66;4.06;31.37;38.12;-0.04;1.25;0.48;1.34;13.1454;-184.46;105.02;210.37;-120.25;99.56;-312.77;349.57;-120.47;83.46;200.83;94.55;587.6147576;-6.194020883;4.589951227;0.467884937;8.754311218
-69;TRIDENT;1126;517.12;4.06;31.34;38.12;0;1.31;0.51;1.4;13.734;-33.95;83.77;250.13;-133.75;59.08;-304.98;338.21;153.25;81.5;120.82;94.58;583.8560808;-8.171036535;-4.297860114;-0.438110103;10.79850783
-69;TRIDENT;1127;517.58;4.06;31.32;38.13;-0.03;1.18;0.39;1.24;12.1644;21.97;198.85;250.13;-106.31;79.92;-293.73;322.44;127.86;71.91;96.12;94.62;580.0420039;-8.291471463;-0.261815061;-0.026688589;9.870217464
-69;TRIDENT;1128;518.03;4.06;31.27;38.12;0.01;1.5;0.52;1.59;15.5979;-72.85;180;250.13;-138.84;70.47;-307.07;344.29;127.8;59.23;94.96;94.66;577.1973044;-6.321554468;4.377593324;0.446237852;8.803153536
-70;TRIDENT;1129;518.49;4.06;31.24;38.12;0.03;1.38;0.44;1.45;14.2245;-121.36;243.28;250.13;-106.46;91.76;-300.48;331.72;124.89;46.28;95.33;94.69;572.4777581;-10.25988336;-8.561584555;-0.872740525;11.77916445
